dataset_id,modality,.set,.edf,.bdf,.vhdr,status,processed,skipped
ds004229,meg,0,0,0,0,no_files,0,0
ds004398,meg,0,0,0,0,no_files,0,0
ds000246,meg,0,0,0,0,no_files,0,0
ds004276,meg,0,0,0,0,no_files,0,0
ds006035,meg,0,0,0,0,no_files,0,0
ds002885,meg,0,0,0,0,no_files,0,0
ds004738,meg,0,0,0,0,no_files,0,0
ds003392,meg,0,0,0,0,no_files,0,0
ds003082,meg,0,0,0,0,no_files,0,0
ds006629,meg,0,0,0,0,no_files,0,0
ds002312,meg,0,37,0,0,ignored,0,0
ds004107,meg,0,0,0,0,no_files,0,0
ds003694,meg,0,0,0,0,no_files,0,0
ds003352,meg,0,0,0,0,no_files,0,0
ds003483,meg,0,0,0,0,no_files,0,0
ds005241,meg,0,0,0,0,no_files,0,0
ds000247,meg,0,0,0,0,no_files,0,0
ds003922,meg,0,0,0,0,no_files,0,0
ds004837,meg,0,0,0,0,no_files,0,0
ds006012,meg,0,0,0,0,no_files,0,0
ds002712,meg,0,0,0,0,no_files,0,0
ds004998,meg,0,0,0,0,no_files,0,0
ds004012,meg,0,0,0,0,no_files,0,0
ds006720,meg,0,0,0,0,no_files,0,0
ds004330,meg,0,0,0,0,no_files,0,0
ds005356,meg,0,0,0,0,no_files,0,0
ds002908,meg,0,0,0,0,no_files,0,0
ds004346,meg,0,0,0,0,no_files,0,0
ds004483,meg,0,0,0,0,no_files,0,0
ds003703,meg,0,0,0,0,no_files,0,0
ds004278,meg,0,0,0,0,no_files,0,0
ds003104,meg,0,0,0,0,no_files,0,0
ds005346,meg,0,0,0,0,no_files,0,0
ds006334,meg,0,28,0,0,ignored,0,0
ds002001,meg,0,0,0,0,no_files,0,0
ds006468,meg,0,0,0,0,no_files,0,0
ds000248,meg,0,0,0,0,no_files,0,0
ds005279,meg,0,0,0,0,no_files,0,0
ds000117,meg,0,0,0,0,no_files,0,0
ds002761,meg,0,0,0,0,no_files,0,0
ds005065,meg,0,0,0,0,no_files,0,0
ds003682,meg,0,0,0,0,no_files,0,0
ds003568,meg,0,0,0,0,no_files,0,0
ds006502,meg,0,0,0,0,no_files,0,0
ds004011,meg,0,22,0,0,ignored,0,0
ds003633,meg,0,0,0,0,no_files,0,0
ds002550,meg,0,0,0,0,no_files,0,0
ds004078,meg,0,0,0,0,no_files,0,0
ds004212,meg,0,0,0,0,no_files,0,0
ds005752,meg,0,0,0,0,no_files,0,0
ds005261,meg,0,0,0,0,no_files,0,0
ds005810,meg,0,0,0,0,no_files,0,0
ds002578,eeg,2,0,0,0,ok,2,0
ds001785,eeg,72,0,0,0,partial,0,54
ds003195,eeg,0,20,0,0,skipped,0,20
ds002691,eeg,20,0,0,0,skipped,0,20
ds002218,eeg,18,0,0,0,ok,18,0
ds003194,eeg,0,29,0,0,skipped,0,29
ds003039,eeg,16,0,0,0,skipped,0,16
ds002723,eeg,0,44,0,0,skipped,0,44
ds003805,eeg,1,0,0,0,skipped,0,1
ds003061,eeg,39,0,0,0,ok,39,0
ds003810,eeg,0,50,0,0,skipped,0,50
ds003343,eeg,0,0,59,0,skipped,0,59
ds003004,eeg,34,0,0,0,nfs_slurm_error,0,0
ds003458,eeg,23,0,0,0,skipped,0,23
ds002778,eeg,0,0,46,0,skipped,0,46
ds001787,eeg,0,0,40,0,skipped,0,40
ds003801,eeg,20,0,0,0,skipped,0,20
ds003574,eeg,0,18,0,0,skipped,0,18
ds003570,eeg,40,0,0,0,partial,28,12
ds003800,eeg,24,0,0,0,partial,11,13
ds003751,eeg,38,0,0,0,partial,1,37
ds003519,eeg,54,0,0,0,skipped,0,54
ds002893,eeg,52,0,0,0,skipped,0,52
ds004010,eeg,24,0,0,0,skipped,0,24
ds003710,eeg,0,0,0,48,skipped,0,48
ds002034,eeg,0,167,0,0,skipped,0,167
ds003516,eeg,46,0,0,0,partial,0,25
ds002720,eeg,0,165,0,0,skipped,0,165
ds002721,eeg,0,185,0,0,skipped,0,185
ds001849,eeg,120,0,0,0,skipped,0,120
ds003490,eeg,75,0,0,0,skipped,0,75
ds002833,eeg,0,0,0,80,skipped,0,80
ds002791,eeg,0,0,0,92,skipped,0,92
ds004022,eeg,21,0,0,0,error,0,0
ds003947,eeg,0,0,0,61,skipped,0,61
ds004015,eeg,36,0,0,0,skipped,0,36
ds004040,eeg,26,0,0,0,ok,26,0
ds002094,eeg,0,0,0,43,skipped,0,43
ds004019,eeg,62,0,0,0,ok,62,0
ds002722,eeg,0,94,0,0,skipped,0,94
ds003626,eeg,0,0,30,0,skipped,0,30
ds003944,eeg,0,0,0,82,skipped,0,82
ds003739,eeg,120,0,0,0,skipped,0,120
ds003822,eeg,25,0,0,0,skipped,0,25
ds004033,eeg,36,0,0,0,skipped,0,36
ds003846,eeg,0,0,0,60,skipped,0,60
ds004105,eeg,34,0,0,0,skipped,0,34
ds004106,eeg,29,0,0,0,nfs_slurm_error,0,0
ds003517,eeg,34,0,0,0,skipped,0,34
ds004119,eeg,22,0,0,0,skipped,0,22
ds002181,eeg,226,0,0,0,skipped,0,226
ds004252,eeg,0,0,0,1,ok,1,0
ds004000,eeg,0,0,0,86,skipped,0,86
ds004147,eeg,0,0,0,12,error,0,0
ds003474,eeg,122,0,0,0,partial,121,1
ds004123,eeg,30,0,0,0,skipped,0,30
ds004121,eeg,60,0,0,0,skipped,0,60
ds003655,eeg,156,0,0,0,skipped,0,156
ds004196,eeg,0,0,4,0,skipped,0,4
ds002724,eeg,0,96,0,0,skipped,0,96
ds004122,eeg,63,0,0,0,skipped,0,63
ds003774,eeg,240,0,0,0,skipped,0,240
ds004152,eeg,0,0,0,21,skipped,0,21
ds004151,eeg,57,0,0,0,partial,56,1
ds004043,eeg,20,0,0,20,ok,20,0
